street,sic_name,employees,Longitude,Latitude,firstyear,lastyear
355 Benedict Rd,Transportation Equipment,NA,-71.60723209,42.00269007,2002,2006
205 Taunton Avenue,"Printing, Publishing & Allied Industries",NA,-71.37222863,41.81961924,1969,1971
401 8234360 173 Washington St,Primary Metal Industries,0-49,-71.52718164,41.70186324,2002,2002
46 Border St,Industrial & Commercial Machinery,0-49,-71.51922163,41.70496399,2002,2008
999 Pontiac Ave,Food & Kindred Products,NA,-71.44582323,41.75731943,1975,2002
259 Warren Avenue,"Printing, Publishing & Allied Industries",0-49,-71.37329952,41.81448364,1969,1973
505 Central Ave,Jewelry & Other Miscellaneous Manufacturing,250-499,-71.36350879,41.8856439,1959,2012
330 Silver Spring St,Chemicals & Allied Products,NA,-71.41288461,41.85259208,1971,1983
21Starline ay,Chemicals & Allied Products,0-49,-71.52662866,41.7895281,2006,2006
6946 Post Rd,Rubber & Miscellaneous Plastic Products,0-49,-71.45618887,41.60865028,1979,2008
56 Main St,"Printing, Publishing & Allied Industries",0-49,-71.83157359,41.37648385,1953,1994
1366 Main St,"Printing, Publishing & Allied Industries",0-49,-71.52274991,41.70067642,1953,1953
75 Main St,"Printing, Publishing & Allied Industries",100-249,-71.51531513,42.00151403,1953,2010
1281 Broad Street,Industrial & Commercial Machinery,NA,-71.38841834,41.89746748,1959,1973
4 Sawyer Drive 822 0360,Industrial & Commercial Machinery,0-49,-71.58299161,41.69984884,1975,1988
17 Holden Street,Food & Kindred Products,NA,-71.41968377,41.82902637,1979,1981
21 Sunnyside Ave,"Electronics, Electrical Equipment & Components",0-49,-71.47049341,41.82569926,2002,2008
149 Pet asset Avenue,Food & Kindred Products,NA,-71.60386143,41.99501668,1961,1961
149 Pocasset Avenue,Food & Kindred Products,NA,-71.45369422,41.81097429,1963,1969
30 Burnside St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.27245658,41.66332957,2002,2008
160 Georgia Ave,Chemicals & Allied Products,0-49,-71.39938518,41.79166466,1953,2012
125 Ernest Street,Fabricated Metal Products,0-49,-71.39981558,41.79487276,1967,1981
50 Kennedy Plaza Providence,"Electronics, Electrical Equipment & Components",50-99,-71.41871078,41.86096441,1988,1988
50 Kennedy Plz,Industrial & Commercial Machinery,0-49,-71.41161756,41.82538286,1998,2010
380 Jefferson Blvd,"Stone, Clay, Glass & Concrete Products",100-249,-71.43988896,41.73710562,1967,2010
350 Weybosset St,Chemicals & Allied Products,0-49,-71.41415644,41.82012526,1953,1963
58 Read Avenue,Food & Kindred Products,NA,-71.5343077,41.69882284,1959,1981
7 Alice St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.53435892,41.69901142,1983,2010
Right Rear Of 56 Read Ave,Rubber & Miscellaneous Plastic Products,0-49,-71.53422219,41.69809601,1979,1983
147 South Street Providence,Fabricated Metal Products,0-49,-71.41111485,41.81610831,1953,1991
1 Division St,Chemicals & Allied Products,0-49,-71.44568416,41.66410061,1953,2012
98 Greenville Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.47649896,41.83446513,1971,2010
18 Sheffield Road Newport,Primary Metal Industries,0-49,-71.31171923,41.50190424,1988,1994
534 High St,Industrial & Commercial Machinery,0-49,-71.38397307,41.88719916,1953,1973
521 Roosevelt Ave,Industrial & Commercial Machinery,100-249,-71.382086,41.8867677,1953,2002
14 Goodwin St,Transportation Equipment,0-49,-71.31438375,41.47852212,2010,2010
135 Dean St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42413902,41.8232648,1967,2008
Chaceis Lane,Industrial & Commercial Machinery,100-249,-71.38546923,41.89553919,1953,1953
89 Fourth Ave,Industrial & Commercial Machinery,0-49,-71.42468767,41.75971976,1953,1953
215 Jefferson Blvd,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43842424,41.74156309,1979,1994
4 Secluded Dr,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.51812,41.444348,2008,2012
802 Park Ave,Food & Kindred Products,0-49,-71.43374188,41.77848131,1953,1963
580 Main St,"Printing, Publishing & Allied Industries",0-49,-71.45281954,41.65641801,1998,2006
NA,Food & Kindred Products,NA,-71.50961803,41.78858097,1963,1981
1109 So Broadway,Food & Kindred Products,0-49,-71.37166565,41.81047632,1953,1975
70 Tingley Street Providence,Food & Kindred Products,0-49,-71.42961565,41.82668034,1959,2006
726 Tuckertown Rd,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.53970243,41.43119655,2010,2012
222 Chestnut Street Providence,Petroleum Refining & Related Industries,0-49,-71.40844793,41.81698625,1967,1991
532 Main Road,"Printing, Publishing & Allied Industries",0-49,-71.19178107,41.65907754,1986,1991
8 Albro St,Food & Kindred Products,50-99,-71.3107777,41.49905088,1953,1967
Ryan Ave Ashton,Chemicals & Allied Products,0-49,-71.40354287,41.91318943,1953,1963
171 Pawtucket Ave,Chemicals & Allied Products,0-49,-71.38893091,41.86903751,1969,1969
44 East Avenue,Chemicals & Allied Products,0-49,-71.38459685,41.87663929,1979,1979
49 Valley St,Chemicals & Allied Products,0-49,-71.3822754,41.82041513,1953,1959
60 Delta Dr,"Printing, Publishing & Allied Industries",0-49,-71.36747637,41.8764647,2002,2010
2208 Queens River Dr,Furniture & Fixtures,NA,-71.5991806,41.51066707,2002,2006
1497 Main St,Industrial & Commercial Machinery,0-49,-71.52154358,41.6941781,1969,2012
710 Broadway,Food & Kindred Products,0-49,-71.37253961,41.89214196,1953,1961
Rock Ave,Lumber & Wood Products Except Furniture,NA,-71.36446006,41.88811256,1979,1983
19 Spring Street,Chemicals & Allied Products,NA,-71.31222812,41.49092303,1953,1961
NA,Fabricated Metal Products,0-49,-71.31081216,41.48391645,1971,1986
168 Messer Street,Industrial & Commercial Machinery,0-49,-71.435302,41.81086082,1969,1969
48 Terrace Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.45163129,41.8079916,1967,1983
244 Burlingham Ave,Fabricated Metal Products,50-99,-71.4275602,41.58749218,2006,2008
377 Eddy St,Fabricated Metal Products,0-49,-71.40718598,41.81776867,1953,1953
1638 Wanvick Ave,Furniture & Fixtures,0-49,-71.40663187,41.73187845,2008,2008
469 Roosevelt Ave,Textile Mill Products,NA,-71.38220342,41.88575714,1953,1991
40 Bay State Avenue,Fabricated Metal Products,0-49,-71.44011437,41.7385814,1963,1998
Paula Bonner Senior VP 2191 Post Rd,Furniture & Fixtures,250-499,-71.44137162,41.72221424,2002,2002
10 Houghton St,Fabricated Metal Products,0-49,-71.43426335,41.85630679,1986,2008
96 Mill St,Textile Mill Products,100-249,-71.49913021,42.01262414,1953,1988
784 River St,Textile Mill Products,0-49,-71.52687837,42.00634399,1953,1991
84 Fairmount Street,Textile Mill Products,0-49,-71.52264365,42.0029294,1953,1975
5 Privilege St,Furniture & Fixtures,NA,-71.51146555,42.01490107,1979,1986
3 Flat Street Cumberland,Lumber & Wood Products Except Furniture,0-49,-71.46827227,41.97183351,1988,2012
340 Waterman Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.49857983,41.87602824,1967,2012
200 Broad St,Industrial & Commercial Machinery,0-49,-71.41839802,41.81668974,2002,2006
45 Quaker Ln,Lumber & Wood Products Except Furniture,0-49,-71.50161108,41.6948983,2002,2012
480 Benefit St,"Printing, Publishing & Allied Industries",0-49,-71.46112876,41.69496224,1981,1981
4 Ruffe St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.47703,41.85464,2002,2012
64 Elbow St,Textile Mill Products,NA,-71.5052191,42.01017021,1953,1953
112 Benefit Street,Textile Mill Products,NA,-71.5155984,41.99565482,1953,1983
86 Weybosset St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.41033945,41.82343603,1953,1981
NA,Fabricated Metal Products,0-49,-71.76838296,41.34691877,2008,2008
50 Church St,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.38981087,41.87560329,1953,1994
545 Mineral Spring Avenue,Primary Metal Industries,NA,-71.40698784,41.87300706,1969,2002
289 Roosevelt Ave,Primary Metal Industries,0-49,-71.38230109,41.88217949,1953,1998
385 Charles St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.41786592,41.84222307,1953,1975
250 Putnam Avenue,Food & Kindred Products,0-49,-71.38458107,41.81056922,1953,1988
18 Bassett Street,Furniture & Fixtures,0-49,-71.41091186,41.81801637,1959,1975
84 Fountain St,Fabricated Metal Products,NA,-71.37825209,41.88291146,1953,2002
83 Vermont Ave Bldg 4,Fabricated Metal Products,0-49,-71.44118228,41.74000034,2012,2012
92 Elm St,Fabricated Metal Products,0-49,-71.40996522,41.81719173,1953,1961
223 Aborn St,Fabricated Metal Products,0-49,-71.41649673,41.82254462,1953,1959
211 213 West Exchange Street,Fabricated Metal Products,0-49,-71.42063887,41.82531203,1961,1963
29 Elm St,"Printing, Publishing & Allied Industries",0-49,-71.31874042,41.49284016,2002,2010
44 Warren St,Rubber & Miscellaneous Plastic Products,100-249,-71.42588258,41.81078654,1953,2012
498 Washington Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.54022016,41.69532389,1961,2012
NA,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42261461,41.81799361,1963,1963
19 Amherst Sheet,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43882111,41.82318966,1969,1971
100 Peck Hill Rd,Fabricated Metal Products,NA,-71.5594646,41.80080185,1991,2006
270 Old Baptist Road,Furniture & Fixtures,0-49,-71.4789005,41.60740339,1994,2012
120 W Park Street,"Printing, Publishing & Allied Industries",NA,-71.42161931,41.83209162,1959,1959
275 Scituate Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.51284194,41.8048669,1994,1998
1 American Way,"Stone, Clay, Glass & Concrete Products",50-99,-71.49056869,41.64368466,2006,2006
1455 Douglas Ave,Textile Mill Products,0-49,-71.45538684,41.86488428,1953,1953
55 Spooner St,Industrial & Commercial Machinery,0-49,-71.42148039,41.77825722,1953,2010
55 Grant St it 57,Leather & Leather Products,0-49,-71.42957045,41.81842601,1998,2002
55 Burdickville Rd,Lumber & Wood Products Except Furniture,0-49,-71.72852713,41.41624954,2006,2010
47 Gooding Ave,Transportation Equipment,0-49,-71.27481407,41.6932711,1983,2006
47 Pettaconsett Ave,Primary Metal Industries,50-99,-71.44799926,41.75268682,1959,2012
15 Morgan Mill Rd,Fabricated Metal Products,0-49,-71.48565792,41.79234893,1959,1994
268 Pocasset Ave,Jewelry & Other Miscellaneous Manufacturing,NA,-71.4560338,41.80781978,1983,1994
125 Esten Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.4022621,41.86408772,1994,1994
30 Webb Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44658332,41.75332111,1961,1991
25 Eagle Street,Lumber & Wood Products Except Furniture,0-49,-71.43594796,41.82674375,1979,2010
x _ 3,"Printing, Publishing & Allied Industries",NA,-71.5134274,41.98019643,1963,2006
25 Rose St a A,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42517391,41.86435435,2002,2002
403 RooseveltAve,Petroleum Refining & Related Industries,0-49,-71.3822419,41.88442356,2008,2010
928 Plainlield St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.46518418,41.80558487,1953,1988
53 Clifford Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44780736,41.86195093,1959,1959
5 Eaten Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.35418099,41.87175527,1967,1967
351 Thames Street,Fabricated Metal Products,0-49,-71.31475149,41.48394814,1953,1971
349 Huntington Ave,"Stone, Clay, Glass & Concrete Products",0-49,-71.43919081,41.80390742,1953,2010
450 Pavilion Ave,Jewelry & Other Miscellaneous Manufacturing,250-499,-71.42863232,41.73604094,1963,2012
50 Colorado Ave,Jewelry & Other Miscellaneous Manufacturing,NA,-71.44235627,41.74328592,1986,2010
856 Park Ave,"Printing, Publishing & Allied Industries",NA,-71.43658204,41.77908804,1981,1981
930 Wellington Ave,Primary Metal Industries,NA,-71.43049751,41.76338566,1979,2012
911 Pontiac Avenue,"Printing, Publishing & Allied Industries",0-49,-71.4431993,41.76006223,1953,2002
3076 Post Road,"Printing, Publishing & Allied Industries",0-49,-71.45423522,41.70140563,1953,2012
248 Weeden St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.39644419,41.87732878,1953,1961
101 Poe Street 5,Leather & Leather Products,NA,-71.40391236,41.8055554,1983,2012
54 Buttonwood Street,Rubber & Miscellaneous Plastic Products,0-49,-71.26723118,41.67682729,1983,1988
222 Riverside Dr,Lumber & Wood Products Except Furniture,0-49,-71.21110178,41.63948008,1994,2012
55 Boutwell St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.39273211,41.86567173,1953,1969
1055 Roosevelt Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.36973234,41.89442136,1953,1959
44 Hospital St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.41000398,41.8165175,1953,1953
9 Second Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42752982,41.76462634,1971,1973
541 Pawtucket Ava,"Printing, Publishing & Allied Industries",0-49,-71.39815609,41.85888315,1953,2002
87 Globe Street,Industrial & Commercial Machinery,0-49,-71.40755863,41.81459753,1953,1981
23 Kenney Dr,Primary Metal Industries,100-249,-71.45296233,41.74239459,1981,2010
125 Providence Street 828 1111,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.51696009,41.71334642,1953,1991
9 Howard St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.38325708,41.71495298,1961,1991
66 Aster Street West Warwick,Jewelry & Other Miscellaneous Manufacturing,NA,-71.48898923,41.72567269,1991,1994
592 Hartford Ave,Food & Kindred Products,0-49,-71.4641514,41.81932682,1953,1953
50 Delaine St,Industrial & Commercial Machinery,0-49,-71.44073336,41.81948587,1979,1983
860 Wellington Avenue,Industrial & Commercial Machinery,0-49,-71.42982543,41.76532142,1963,1983
10 Lynde St,Food & Kindred Products,0-49,-71.45263174,41.84722437,1953,1961
1112 River Street Woonsocket,"Stone, Clay, Glass & Concrete Products",NA,-71.5297664,42.00889247,1953,2012
700 Elmwood Ave,Industrial & Commercial Machinery,0-49,-71.42227799,41.79076395,2008,2008
14 Suez Street Cranston,"Stone, Clay, Glass & Concrete Products",0-49,-71.46357561,41.77964485,1988,2006
412 Broadway,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43158829,41.81921926,1969,1969
222HarHord Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.45001925,41.81723193,1971,1971
207 Highpoint Ave,Industrial & Commercial Machinery,0-49,-71.26165336,41.59680192,1998,2012
Phone 10 St,Fabricated Metal Products,0-49,-71.38049235,41.87973818,2002,2002
891 North Main St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40618955,41.84466911,1953,1988
67 Gooding Avenue Bristol,Industrial & Commercial Machinery,NA,-71.27233641,41.69355545,1991,1991
50 Magnolia Street,Industrial & Commercial Machinery,0-49,-71.26795747,41.67636038,1994,1994
300 Rand St,Food & Kindred Products,0-49,-71.39825165,41.88307183,2002,2002
626 Broad St,Industrial & Commercial Machinery,0-49,-71.38732876,41.88805389,2006,2006
288 Lincoln Avenue,Fabricated Metal Products,0-49,-71.43803372,41.74322055,1967,1994
510 Quaker Ln,Leather & Leather Products,100-249,-71.50012814,41.68083917,2008,2008
3287 Post Rd,"Printing, Publishing & Allied Industries",100-249,-71.45878746,41.69894187,1991,2010
256 Woodbine St,Fabricated Metal Products,0-49,-71.42985623,41.77344103,2002,2002
60 Branch Avenue Providence,"Printing, Publishing & Allied Industries",0-49,-71.40874252,41.84346311,1991,1991
18 Imperial Place,"Printing, Publishing & Allied Industries",0-49,-71.41133281,41.81671813,1991,1994
81 Church Street,"Printing, Publishing & Allied Industries",0-49,-71.70515639,41.95765243,1959,1969
421 Manton Avenue,Industrial & Commercial Machinery,0-49,-71.4538129,41.82513285,1969,1969
580 Douglas Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42902873,41.84604662,1971,1975
143 Valley St.,Food & Kindred Products,0-49,-71.44022347,41.82072282,1953,1961
87 DePasquale Avenue,Food & Kindred Products,0-49,-71.42678804,41.82322157,1961,1975
12 Courtland St,Food & Kindred Products,0-49,-71.43237116,41.82222801,1953,1967
1031 Plainfield St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.46810366,41.80353282,1981,1998
55 Cromwell Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42558952,41.80892572,1953,2010
1128 North Main Street,Food & Kindred Products,100-249,-71.40251591,41.85124083,1961,1961
488 Cranston St,Food & Kindred Products,0-49,-71.43319613,41.80981663,1953,1961
176 Narragansett Ave,Food & Kindred Products,0-49,-71.42348297,41.78870601,1953,1991
17 Clift Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43870932,41.8263387,1994,1994
181 Narragansett Ave,Food & Kindred Products,0-49,-71.42356606,41.78857829,1953,1953
828 Charles St,Food & Kindred Products,0-49,-71.42189331,41.85937358,1953,1961
69 Troy St,"Stone, Clay, Glass & Concrete Products",0-49,-71.44174709,41.81468706,1953,1967
275 Harris Avenue,"Stone, Clay, Glass & Concrete Products",0-49,-71.42876666,41.82612905,1969,1991
gigrfekmdusmawm,Lumber & Wood Products Except Furniture,NA,-71.53597793,41.86766771,2002,2010
499 Cranston Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43348849,41.80967449,1967,1967
1361 Broad Street Central Falls,Chemicals & Allied Products,0-49,-71.38904218,41.8984674,1988,1991
38 Valley Street,Primary Metal Industries,0-49,-71.43844001,41.82632742,1967,1967
524 Thames Street,"Printing, Publishing & Allied Industries",0-49,-71.31410593,41.47853777,1979,1986
5 John Clark Road Middletown,"Printing, Publishing & Allied Industries",0-49,-71.28684823,41.5031692,1983,1991
75 East St,"Electronics, Electrical Equipment & Components",50-99,-71.39434525,41.81945971,2002,2010
1454 Main St,"Printing, Publishing & Allied Industries",0-49,-71.52223128,41.69637726,1959,2008
444 Westminster St Dept 1,Leather & Leather Products,500+,-71.4150428,41.82111002,2002,2002
500 Exchange St,"Stone, Clay, Glass & Concrete Products",500+,-71.41307585,41.82816021,2010,2010
321 Eddy St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.40819142,41.81914528,1953,1963
3 Valley St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44091142,41.81694246,1953,1975
4 Spring Wharf Newport,Food & Kindred Products,NA,-71.31440368,41.48040027,1991,1994
183 Forge Road Warwick,Food & Kindred Products,0-49,-71.45054492,41.64396712,1988,2010
191 South Street,Jewelry & Other Miscellaneous Manufacturing,NA,-71.41174983,41.81583697,1953,1959
120 Manton Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44596552,41.81895376,1959,2012
61 Western Industrial Dr,Leather & Leather Products,0-49,-71.52180851,41.78347323,2002,2010
63 Baker Street 785 1770,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.39999865,41.79343416,1953,1991
14 Murray St,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.46187585,41.80980353,1953,1961
NA,Furniture & Fixtures,0-49,-71.48459997,41.82206035,2002,2002
20 Commercial Way East Providence,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.34894114,41.81403777,1988,2012
7 Ninigret Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43665144,41.8044001,1981,2012
1135 Roosevelt Ave,Textile Mill Products,100-249,-71.36775084,41.89433951,1953,2002
1 Geo Washington thy,Rubber & Miscellaneous Plastic Products,50-99,-71.48772235,41.9338282,1979,1986
174 Cross St,"Stone, Clay, Glass & Concrete Products",NA,-71.39175157,41.88363362,1981,2010
308 East School St,Chemicals & Allied Products,50-99,-71.50793122,42.01075735,1979,1994
27 Esten Ave,Textile Mill Products,0-49,-71.40236636,41.86540661,1953,1961
217 Conant St,Textile Mill Products,0-49,-71.39420037,41.87981429,1953,2008
6 High St Wakefield,Textile Mill Products,100-249,-71.50189168,41.43693455,1973,1973
70 Vermont Ave,Industrial & Commercial Machinery,NA,-71.44107771,41.73986563,2002,2006
7 Woodland Street,Industrial & Commercial Machinery,0-49,-71.3840757,41.841383,1967,1991
Mill Street Lonsdale,Textile Mill Products,0-49,-71.3948224,41.87906145,1953,1971
1120 Wellington Ave,Fabricated Metal Products,NA,-71.42679654,41.76126706,1998,2010
168 Smithfield Avenue,"Printing, Publishing & Allied Industries",0-49,-71.41220685,41.86385975,1967,1975
285 Hill Street,Textile Mill Products,0-49,-71.54671749,41.72076299,1961,1983
320 Elm St Norwood,Fabricated Metal Products,0-49,-71.43148239,41.74840082,1953,1953
1367 Elmwood Avenue Cranston,Rubber & Miscellaneous Plastic Products,0-49,-71.42285314,41.77306445,1983,2010
428 Reservoir Avenue,Finished Products from Fabrics,0-49,-71.43457271,41.78591423,1959,1961
3980 Main Rd,"Stone, Clay, Glass & Concrete Products",NA,-71.18621005,41.56813003,1983,1986
445 Reservoir Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43467836,41.78599198,1967,1975
85 Industrial Cir Ste 401,"Stone, Clay, Glass & Concrete Products",0-49,-71.40902364,41.89145485,1998,2010
30 James Street,Industrial & Commercial Machinery,0-49,-71.37485065,41.82060535,1959,1979
25 Holden Street,Fabricated Metal Products,0-49,-71.41956114,41.82924909,1967,1991
288 Kinsley Avenue Providence,Food & Kindred Products,0-49,-71.42822628,41.82843567,1986,1988
99 Hartford Avenue Providence,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.4466371,41.81704521,1975,2012
1117 Douglas Avenue,"Printing, Publishing & Allied Industries",0-49,-71.44280528,41.85652013,1959,1998
99 Webster St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.36909052,41.89046525,1963,2010
615 No Broadway,Primary Metal Industries,50-99,-71.36562761,41.82526375,1953,1953
NA,"Electronics, Electrical Equipment & Components",0-49,-71.42833859,41.82776779,2002,2002
139 Clay St,Primary Metal Industries,0-49,-71.39190241,41.88249839,1953,1953
916 High Street,Primary Metal Industries,0-49,-71.38306174,41.89242421,1959,1963
381 State Ave,Furniture & Fixtures,0-49,-71.17982575,41.67208745,1953,2012
315 Main Road Tiverton,Precision Machinery,0-49,-71.18842199,41.66474694,1959,1991
244 Oak Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44160195,41.81487121,1953,1998
23 Erie Street Providence,Chemicals & Allied Products,0-49,-71.44362369,41.84807812,1983,1994
1600 Newport Ave,Primary Metal Industries,0-49,-71.35476989,41.89600938,1988,2012
889 Main St,Primary Metal Industries,0-49,-71.39899719,41.8677619,1953,1961
324 East Avenue,Food & Kindred Products,0-49,-71.38697657,41.87000644,1971,1975
1959 Kingstown Rd Ofc,"Electronics, Electrical Equipment & Components",50-99,-71.51196719,41.46738522,2008,2008
84 Social St Ste 1,"Stone, Clay, Glass & Concrete Products",0-49,-71.51106329,42.00678137,2008,2008
93 Plainfield Street Providence,Industrial & Commercial Machinery,0-49,-71.44528505,41.81590338,1988,1988
51 Washington Ave,Industrial & Commercial Machinery,50-99,-71.4407921,41.80143661,1953,1973
1 Dunnell Ln,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.37392896,41.86609099,1998,1998
585 North Main St,Food & Kindred Products,0-49,-71.40967295,41.83553937,1953,1953
540 Pawtucket Avenue,Food & Kindred Products,50-99,-71.39756276,41.85931353,1963,1994
252 Kinsley Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43395718,41.82699961,1967,1967
58 Curtis Street,Fabricated Metal Products,0-49,-71.45001271,41.82176384,1969,1991
5 Hardwick St,Furniture & Fixtures,0-49,-71.41613202,41.92600366,1953,1963
Dorset Mill Road,"Electronics, Electrical Equipment & Components",0-49,-71.52525131,41.52075773,1986,1986
1 Waxcadowa Ave,Transportation Equipment,0-49,-71.7567309,41.33072612,2006,2010
999 Oaklewn Ave,"Printing, Publishing & Allied Industries",0-49,-71.47938853,41.74382315,1998,2002
678 Elmwood Avenue,Food & Kindred Products,0-49,-71.40503822,41.76382877,1979,1979
25 Snow St,Furniture & Fixtures,0-49,-71.41500266,41.82207028,1953,1961
649 West Shore Rd,Jewelry & Other Miscellaneous Manufacturing,NA,-71.38570452,41.72576956,1983,1988
87 Margin St,Chemicals & Allied Products,0-49,-71.83559621,41.36248779,2006,2008
60 Quaker Ln,Fabricated Metal Products,100-249,-71.50135759,41.69368665,2006,2008
71 Norwood Avenue Warwick,Precision Machinery,0-49,-71.4298431,41.75577818,1953,2008
305 Oliphant lane,Transportation Equipment,0-49,-71.28006198,41.53710767,1988,2002
10 Orrns St,Textile Mill Products,NA,-71.41181846,41.83485711,2002,2002
480 Cass Avenue Woonsocket,"Printing, Publishing & Allied Industries",0-49,-71.4899492,42.00585294,1971,2012
36 Elmy St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40794252,41.81800672,1953,1991
225 Duponi Drive,Jewelry & Other Miscellaneous Manufacturing,100-249,-71.43598322,41.79697317,1971,2012
216 Hughes Avenue,Food & Kindred Products,0-49,-71.35797621,41.88449725,1971,1988
57 Kilvert Street Warwick,Industrial & Commercial Machinery,0-49,-71.43998577,41.72905006,1986,1994
858 Broad St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.38752364,41.89155571,2002,2006
474 West Exchange St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42560499,41.82540254,1953,1969
175 Ridge Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43633446,41.81986241,1959,1994
155 Marshall Avenue,"Printing, Publishing & Allied Industries",0-49,-71.40256782,41.92296407,1979,1998
zo Burnside Street,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.27730764,41.6683374,1967,1967
248 Toronto Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40235991,41.79169243,1953,2012
14 Cedar Street,Jewelry & Other Miscellaneous Manufacturing,NA,-71.42093706,41.82447254,1963,1994
115 Front St,Textile Mill Products,0-49,-71.51124928,42.0011915,1953,2008
21111159,Primary Metal Industries,100-249,-71.42401259,41.81790863,2006,2006
Thames Street Newport,Furniture & Fixtures,0-49,-71.31398055,41.47692001,1988,1988
12005409,Rubber & Miscellaneous Plastic Products,0-49,-71.41827906,41.83225809,2002,2008
1012 Tiogue Ave Unit 31,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.57498533,41.67993302,2002,2002
1351 S County Trl,Transportation Equipment,NA,-71.49761673,41.6597498,2006,2006
4614 Post Rd,Transportation Equipment,100-249,-71.45010276,41.66531623,2006,2008
116 Superior St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43232025,41.81031159,1953,1953
319 Beverage Hill Road,"Stone, Clay, Glass & Concrete Products",0-49,-71.36288826,41.86072732,1959,1967
551 Eddy St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.4070226,41.81260914,1953,1953
45 Baker St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.39932412,41.79355628,1953,2006
171 Westminster St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.41261379,41.82280414,1953,1953
77 Prudence Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.46121869,41.80690583,1971,1973
52 Valley St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44075245,41.81856336,1953,1998
40 Clin ord St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42620647,41.84349453,1953,1953
158 Pine St,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.41170029,41.82065078,1953,1986
160 Courtland Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43063045,41.81765274,1967,1971
167 Valley Street 421 3926,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44011622,41.82133508,1961,1998
807 Hartford Ave,Jewelry & Other Miscellaneous Manufacturing,100-249,-71.47270881,41.81954552,1975,2010
